ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06lv8*,ELC2,Austin Baker,Baker,DET,"C,LW",FA,19,,"525,000",0,0,2%,,"06lv8,ELC2"
*06tar*,ELC1,Everett Baldwin,Baldwin,TBL,D,FA,18,,"525,000",0,0,13%,,"06tar,ELC1"
*06uvs*,ELC1,Asher Barnett,Barnett,EDM,D,FA,18,,"525,000",0,0,8%,,"06uvs,ELC1"
*06tao*,ELC1,Sean Barnhill,Barnhill,NYR,D,FA,18,,"525,000",0,0,10%,,"06tao,ELC1"
*06mcy*,ELC2,Jacob Battaglia,Battaglia,CGY,RW,FA,19,,"525,000",0,0,28%,,"06mcy,ELC2"
*06tmi*,ELC1,Roman Bausov,Bausov,CAR,D,FA,18,,"525,000",0,0,10%,,"06tmi,ELC1"
*06rqm*,ELC1,Carter Bear,Bear,DET,C,FA,18,,"525,000",0,0,38%,,"06rqm,ELC1"
*06tmu*,ELC1,Quinn Beauchesne,Beauchesne,PIT,D,FA,18,,"525,000",0,0,15%,,"06tmu,ELC1"
*06tan*,ELC1,Lucas Beckman,Beckman,OTT,G,FA,17,,"525,000",0,0,24%,,"06tan,ELC1"
*06cle*,ELC3,Owen Beckner,Beckner,OTT,C,FA,20,,"525,000",0,0,5%,,"06cle,ELC3"
*06sqd*,ELC1,David Bedkowski,Bedkowski,BUF,D,FA,18,,"525,000",0,0,20%,,"06sqd,ELC1"
*06mb5*,ELC2,Kamil Bednarik,Bednarik,NYI,C,FA,19,,"525,000",0,0,30%,,"06mb5,ELC2"
*06sqn*,ELC1,Nathan Behm,Behm,CHI,RW,FA,18,,"525,000",0,0,32%,,"06sqn,ELC1"
*06tmt*,ELC1,Will Belle,Belle,TOR,RW,FA,18,,"525,000",0,0,10%,,"06tmt,ELC1"
*06pyo*,ELC1,Adam Benak,Benak,MIN,C,FA,18,,"525,000",0,0,36%,,"06pyo,ELC1"
*06tmj*,ELC1,Trenten Bennett,Bennett,NJD,G,FA,19,,"525,000",0,0,9%,,"06tmj,ELC1"
*06mcw*,ELC2,Jack Berglund,Berglund,PHI,"C,LW",FA,19,,"525,000",0,0,12%,,"06mcw,ELC2"
*06mqv*,ELC2,Rasmus Bergqvist,Bergqvist,MTL,D,FA,20,,"525,000",0,0,2%,,"06mqv,ELC2"
*06mhm*,ELC2,Alexis Bernier,Bernier,SEA,D,FA,19,,"525,000",0,0,10%,,"06mhm,ELC2"
*06mqm*,ELC2,Bauer Berry,Berry,EDM,D,FA,19,,"525,000",0,0,2%,,"06mqm,ELC2"
*06bah*,ELC3,Tristan Bertucci,Bertucci,DAL,D,FA,19,,"525,000",0,0,22%,,"06bah,ELC3"
*06mqd*,ELC2,Gregor Bieber,Bieber,UTA,D,FA,18,,"525,000",0,0,8%,,"06mqd,ELC2"
*06cfj*,ELC3,Kevin Bicker,Bicker,DET,LW,FA,20,,"525,000",0,0,5%,,"06cfj,ELC3"
*06rqn*,ELC1,Wilson Bjorck,Bjorck,VAN,LW,FA,19,,"525,000",0,0,5%,,"06rqn,ELC1"
*06lva*,ELC2,Alexandre Blais,Blais,ANA,LW,FA,19,,"525,000",0,0,10%,,"06lva,ELC2"
*06tmn*,ELC1,Lasse Boelius,Boelius,ANA,D,FA,18,,"525,000",0,0,10%,,"06tmn,ELC1"
*06mb1*,ELC2,Raoul Boilard,Boilard,NYR,C,FA,19,,"525,000",0,0,12%,,"06mb1,ELC2"
*06uh8*,ELC1,Yegor Borikov,Borikov,UTA,RW,FA,19,,"525,000",0,0,8%,,"06uh8,ELC1"
*06lor*,ELC1,Sascha Boumedienne,Boumedienne,WPG,D,FA,18,,"525,000",0,0,35%,,"06lor,ELC1"
*06clk*,ELC3,Sebastian Bradshaw,Bradshaw,DAL,LW,FA,20,,"525,000",0,0,0%,,"06clk,ELC3"
*06cdr*,ELC3,Cole Brown,Brown,NJD,RW,FA,20,,"525,000",0,0,0%,,"06cdr,ELC3"
*06mq9*,ELC2,Simon-Pierre Brunet,Brunet,BUF,D,FA,19,,"525,000",0,0,2%,,"06mq9,ELC2"
*06sqq*,ELC1,Henry Brzustewicz,Brzustewicz,LAK,D,FA,18,,"525,000",0,0,32%,,"06sqq,ELC1"
*06ieg*,ELC2,Austin Burnevik,Burnevik,ANA,RW,FA,20,,"525,000",0,0,10%,,"06ieg,ELC2"
*06be1*,ELC3,Quinton Burns,Burns,STL,D,FA,20,,"525,000",0,0,12%,,"06be1,ELC3"
*06lkv*,ELC2,Hagen Burrows,Burrows,TBL,RW,FA,19,,"525,000",0,0,10%,,"06lkv,ELC2"
*06pyk*,ELC1,Justin Carbonneau,Carbonneau,STL,RW,FA,18,,"525,000",0,0,40%,,"06pyk,ELC1"
*06cdp*,ELC3,Jonathan Castagna,Castagna,UTA,C,FA,20,,"525,000",0,0,10%,,"06cdp,ELC3"
*066om*,ELC2,Clarke Caswell,Caswell,SEA,LW,FA,19,,"525,000",0,0,22%,,"066om,ELC2"
*06be2*,ELC3,Mathieu Cataford,Cataford,VGK,"C,RW",FA,20,,"525,000",0,0,30%,,"06be2,ELC3"
