Connor McDavid
Leon Draisaitl
Brad Marchand
Sidney Crosby
Nathan MacKinnon
Mikko Rantanen
Roope Hintz
Aleksander Barkov
Nikita Kucherov
Brayden Point
Tim Stutzle
Jason Robertson
David Pastrnak
Brady Tkachuk
Steven Stamkos
Jack Eichel
Mark Scheifele
Sebastian Aho
Jonathan Huberdeau
Gabriel Landeskog
Victor Hedman
Mitchell Marner
Jake Guentzel
Andrei Svechnikov
Cale Makar
Mika Zibanejad
Cole Caufield
Alex DeBrincat
Kirill Kaprizov
Igor Shesterkin
Elias Pettersson
Jordan Kyrou
Neal Pionk
Connor Hellebuyck
Dougie Hamilton
Brock Boeser
John Carlson
Matthew Tkachuk
Shea Theodore
Filip Forsberg
Pierre-Luc Dubois
William Nylander
Jack Hughes
Andrei Vasilevskiy
Nikolaj Ehlers
Ryan Nugent-Hopkins
Jakob Chychrun
Roman Josi
Juuse Saros
Robin Lehner
J.T. Miller
John Tavares
Thatcher Demko
Evgeni Malkin
Auston Matthews
Sean Couturier
Dylan Cozens
Nick Suzuki
Brandon Montour
Patrick Kane
Patrik Laine
Mathew Barzal
Ilya Sorokin
Elias Lindholm
Vincent Trocheck
Evander Kane
Jake Oettinger
Artemi Panarin
Darcy Kuemper
Morgan Rielly
Kevin Fiala
MacKenzie Weegar
Aaron Ekblad
Jonathan Marchessault
Tage Thompson
Tomas Hertl
Vladimir Tarasenko
Jack Campbell
Robert Thomas
Alex Ovechkin
Quinn Hughes
Alexandar Georgiev
Alex Pietrangelo
Bryan Rust
Valeri Nichushkin
Adam Fox
Frederik Andersen
Tyler Bertuzzi
Trevor Zegras
Nico Hischier
Josh Norris
Charlie McAvoy
Mikhail Sergachev
Zach Werenski
Timo Meier
Dylan Larkin
Oliver Bjorkstrand
Teuvo Teravainen
Sam Reinhart
Claude Giroux
Bo Horvat
Travis Konecny
Drake Batherson
Thomas Chabot
Sam Bennett
Jakub Vrana
Adrian Kempe
Anthony Mantha
Noah Dobson
Tom Wilson
Zach Hyman
Seth Jones
Miro Heiskanen
Evan Bouchard
Pavel Buchnevich
Jake DeBrusk
Tristan Jarry
John Gibson
Chris Kreider
Joel Eriksson Ek
Kyle Connor
Jacob Trouba
Darnell Nurse
Jared McCann
Carter Hart
Elvis Merzlikins
Bowen Byram
Mark Stone
Jordan Binnington
Sergei Bobrovsky
Alex Tuch
Vitek Vanecek
Kris Letang
Joonas Korpisalo
Brayden Schenn
Adin Hill
Rasmus Dahlin
Eeli Tolvanen
Brandon Hagel
Anze Kopitar
Devon Toews
Mats Zuccarello
Jamie Benn
Ville Husso
Max Pacioretty
Logan Couture
Alexis Lafreniere
Gabriel Vilardi
Drew Doughty
Brandon Tanev
Jamie Drysdale
Kaapo Kakko
Justin Faulk
Max Domi
Johnny Gaudreau
Nazem Kadri
Michael Bunting
Tyler Toffoli
Boone Jenner
Ilya Samsonov
Brock Nelson
Jeff Skinner
Hampus Lindholm
Joel Farabee
Martin Necas
Rasmus Andersson
Karel Vejmelka
Reilly Smith
Akira Schmid
Brent Burns
Viktor Arvidsson
Michael Matheson
T.J. Oshie
Filip Gustavsson
Clayton Keller
Jacob Markstrom
Logan Thompson
Joe Pavelski
Adam Larsson
Kirby Dach
Anthony Cirelli
Joel Hofer
Josh Anderson
Andre Burakovsky
Scott Perunovich
Adam Boqvist
K'Andre Miller
Ukko-Pekka Luukkonen
Shane Pinto
Ross Colton
Artturi Lehkonen
Alexander Nikishin
Pavel Zacha
Calen Addison
Barrett Hayton
Jesper Bratt
Troy Terry
Rickard Rakell
Luke Schenn
Nils Lundkvist
Pheonix Copley
Oliver Wahlstrom
Chandler Stephenson
William Karlsson
Juuso Parssinen
Filip Hronek
Matias Maccelli
Tyson Foerster
Luke Evangelista
Ryan McAllister
Jordan Spence
Pavel Dorofeyev
Henry Thrun
Jack McBain
Rafael Harvey-Pinard
Connor Ingram
Connor McMichael
Jonatan Berggren
Elmer Soderblom
Cody Glass
Owen Tippett
Alexandre Texier
Samuel Girard
Thomas Novak
Lawson Crouse
Noah Hanifin
Andrew Mangiapane
Nick Schmaltz
Ryan Hartman
Jason Zucker
Cam Fowler
Jordan Eberle
Alex Killorn
